CA,NY,FL,TX,IL,WA,AGE,MAR,SEX,YES_STEM,NO_STEM,UNKNOWN_INDUSTRY,INCOME
0,0,0,0,0,1,25,0,1,0,0,1,1000
0,0,0,0,0,1,28,1,1,0,0,1,70000
0,0,0,0,0,1,27,1,0,0,0,1,62000
0,0,0,0,0,1,32,1,1,0,0,1,60000
0,0,0,0,0,1,23,0,1,0,0,1,7300
0,0,0,0,0,1,26,0,1,0,0,1,7200
0,0,0,0,0,1,31,1,0,0,0,1,17300
0,0,0,0,0,1,32,1,1,0,0,1,1300
0,0,0,0,0,1,34,1,0,0,0,1,500
0,0,0,0,0,1,35,0,0,0,0,1,34000
0,0,0,0,0,1,30,0,1,1,0,0,50000
0,0,0,0,0,1,31,0,1,0,0,1,40000
0,0,0,0,0,1,30,0,0,0,0,1,8000
0,0,0,0,0,1,31,1,0,0,0,1,75000
0,0,0,0,0,1,28,1,1,0,0,1,25900
0,0,0,0,0,1,24,0,1,0,0,1,4900
0,0,0,0,0,1,25,0,1,0,0,1,500
0,0,0,0,0,1,34,1,0,0,0,1,20000
0,0,0,0,0,1,34,0,1,0,0,1,30000
0,0,0,0,0,1,25,1,0,0,0,1,31000
0,0,0,0,0,1,26,1,1,0,0,1,45000
0,0,0,0,0,1,29,0,1,0,0,1,35000
0,0,0,0,0,1,33,1,1,1,0,0,376000
0,0,0,0,0,1,31,1,0,0,0,1,26000
0,0,0,0,0,1,24,1,0,0,0,1,660
0,0,0,0,0,1,28,0,0,1,0,0,67000
0,0,0,0,0,1,33,1,0,0,0,1,40000
0,0,0,0,0,1,32,0,0,0,0,1,6000
0,0,0,0,0,1,31,0,1,0,0,1,18000
0,0,0,0,0,1,33,0,0,0,0,1,40000
0,0,0,0,0,1,24,1,1,0,0,1,12030
0,0,0,0,0,1,23,1,0,0,0,1,20700
0,0,0,0,0,1,26,0,0,0,0,1,44000
0,0,0,0,0,1,23,0,0,0,0,1,16800
0,0,0,0,0,1,34,0,0,0,0,1,25000
0,0,0,0,0,1,26,0,1,1,0,0,4800
0,0,0,0,0,1,26,0,1,0,0,1,13900
0,0,0,0,0,1,26,0,0,0,0,1,24000
0,0,0,0,0,1,35,0,1,1,0,0,91200
0,0,0,0,0,1,24,1,0,0,0,1,25020
0,0,0,0,0,1,25,1,1,0,0,1,30020
0,0,0,0,0,1,22,0,1,0,0,1,7900
0,0,0,0,0,1,34,1,0,0,0,1,300
0,0,0,0,0,1,33,1,0,0,0,1,20200
0,0,0,0,0,1,34,1,1,0,0,1,11400
0,0,0,0,0,1,32,0,1,0,0,1,37500
0,0,0,0,0,1,34,0,1,0,0,1,11300
0,0,0,0,0,1,25,0,1,0,0,1,46200
0,0,0,0,0,1,26,0,0,0,0,1,44010
0,0,0,0,0,1,29,0,1,0,0,1,25000
0,0,0,0,0,1,30,1,1,1,0,0,63000
0,0,0,0,0,1,30,1,0,1,0,0,33000
0,0,0,0,0,1,34,1,0,1,0,0,80000
0,0,0,0,0,1,33,1,0,0,0,1,25000
0,0,0,0,0,1,30,1,1,0,0,1,45000
0,0,0,0,0,1,25,0,0,0,0,1,2800
0,0,0,0,0,1,34,0,1,0,0,1,64000
0,0,0,0,0,1,28,0,0,1,0,0,11900
0,0,0,0,0,1,25,0,0,0,0,1,7800
0,0,0,0,0,1,34,1,1,0,0,1,47000
0,0,0,0,0,1,22,0,1,1,0,0,11000
0,0,0,0,0,1,27,1,0,0,0,1,40000
0,0,0,0,0,1,30,1,1,1,0,0,45000
0,0,0,0,0,1,25,0,0,0,0,1,15000
0,0,0,0,0,1,35,0,1,0,0,1,10000
0,0,0,0,0,1,34,0,1,1,0,0,90000
0,0,0,0,0,1,28,0,0,0,0,1,75000
0,0,0,0,0,1,32,1,0,0,0,1,29400
0,0,0,0,0,1,32,1,1,0,0,1,60000
0,0,0,0,0,1,24,1,0,0,0,1,21000
0,0,0,0,0,1,23,1,1,1,0,0,17000
0,0,0,0,0,1,24,0,1,0,0,1,54600
0,0,0,0,0,1,35,1,0,0,0,1,6800
0,0,0,0,0,1,22,0,0,0,0,1,5400
0,0,0,0,0,1,34,1,1,1,0,0,100200
0,0,0,0,0,1,33,1,0,0,0,1,4
